state_ansi,county_ansi,year,colonies
24,33,2002,202
24,35,2002,309
24,37,2002,15
24,41,2002,74
25,0,2002,2966
25,1,2002,315
25,3,2002,88
25,5,2002,274
25,9,2002,145
25,11,2002,89
25,13,2002,223
25,15,2002,39
25,17,2002,721
25,23,2002,667
25,27,2002,395
26,0,2002,79341
26,5,2002,1577
26,9,2002,3676
26,11,2002,48
26,17,2002,4976
26,21,2002,3184
26,23,2002,165
26,25,2002,998
26,27,2002,603
26,33,2002,269
26,37,2002,394
26,45,2002,183
26,47,2002,7
26,49,2002,167
26,51,2002,1158
26,55,2002,3439
26,57,2002,749
26,59,2002,1062
26,63,2002,3003
26,65,2002,273
26,67,2002,258
26,73,2002,1770
26,75,2002,883
26,77,2002,5185
26,79,2002,23
26,81,2002,2864
26,87,2002,323
26,89,2002,1504
26,91,2002,2780
26,93,2002,3775
26,97,2002,7
26,99,2002,87
26,101,2002,841
26,105,2002,1405
26,109,2002,60
26,111,2002,92
26,115,2002,23
26,117,2002,5707
26,121,2002,37
26,125,2002,661
26,133,2002,37
26,135,2002,5
26,145,2002,1739
26,151,2002,3425
26,155,2002,524
26,157,2002,390
26,159,2002,63
26,161,2002,806
26,163,2002,745
26,165,2002,2873
27,0,2002,97725
27,1,2002,38
27,3,2002,260
27,15,2002,8
27,17,2002,126
27,19,2002,185
27,21,2002,264
27,25,2002,2154
27,27,2002,102
27,35,2002,1500
27,37,2002,1257
27,47,2002,23
27,49,2002,196
27,53,2002,188
27,55,2002,303
27,57,2002,6
27,61,2002,200
27,65,2002,210
27,67,2002,845
27,79,2002,896
27,95,2002,735
27,97,2002,2174
27,99,2002,262
27,109,2002,396
27,111,2002,16855
27,113,2002,2095
27,115,2002,244
27,119,2002,12202
27,121,2002,4082
27,131,2002,244
27,135,2002,8187
27,137,2002,117
27,139,2002,646
27,141,2002,111
27,145,2002,4090
27,153,2002,5336
27,157,2002,28
27,161,2002,101
27,163,2002,476
27,171,2002,182
28,0,2002,11624
28,5,2002,6
28,21,2002,3
28,25,2002,200
28,29,2002,9
28,31,2002,10
28,37,2002,10
28,41,2002,51
28,47,2002,16
28,49,2002,86
28,57,2002,4
28,59,2002,1254
28,67,2002,1095
28,77,2002,15
28,85,2002,38
28,87,2002,208
28,95,2002,168
28,107,2002,3
28,111,2002,180
28,117,2002,7
28,121,2002,959
28,123,2002,88
28,131,2002,16
28,139,2002,18
28,147,2002,270
29,0,2002,21333
29,1,2002,648
29,7,2002,150
29,9,2002,51
29,13,2002,28
29,15,2002,3
29,17,2002,12
29,19,2002,852
29,23,2002,1016
29,25,2002,45
29,27,2002,45
29,31,2002,77
29,37,2002,56
29,43,2002,100
29,47,2002,123
29,49,2002,1008
29,51,2002,67
29,53,2002,51
29,55,2002,23
29,59,2002,19
29,63,2002,20
29,65,2002,9
29,67,2002,30
29,71,2002,282
29,73,2002,16
29,77,2002,92
29,79,2002,5
29,81,2002,15
29,85,2002,11
29,91,2002,100
29,95,2002,590
29,99,2002,190
29,101,2002,30
29,105,2002,21
29,107,2002,1098
29,109,2002,30
29,113,2002,5
29,117,2002,5
29,119,2002,131
29,121,2002,87
29,123,2002,15
29,125,2002,78
29,131,2002,26
29,135,2002,27
29,137,2002,30
29,141,2002,296
29,145,2002,293
29,149,2002,28
29,153,2002,19
29,157,2002,25
29,159,2002,26
29,161,2002,15
29,163,2002,194
29,165,2002,19
29,167,2002,188
29,169,2002,15
29,175,2002,35
29,177,2002,233
29,179,2002,29
29,183,2002,326
29,185,2002,7
29,186,2002,30
29,187,2002,3
29,189,2002,600
29,199,2002,72
29,209,2002,24
29,213,2002,17
29,215,2002,8
29,217,2002,66
29,219,2002,56
29,221,2002,24
29,223,2002,7
29,225,2002,68
29,229,2002,32
30,0,2002,108617
30,27,2002,1619
30,31,2002,4043
